ID,Title,Skills,Sector,Location,Capacity,Duration,Course,Company
1853,UI Designer Intern,Writing;Adobe XD,Blockchain,Pune,8,5 months,Mechanical Internship,IBM
675,Data Analyst,Ethereum;Linux;Communication,Management,Gurgaon,5,3 months,Digital Marketing,Wipro
1665,HR Intern,ML;Inventory,AI,Bangalore,3,6 months,Data Science Bootcamp,Facebook
1982,Data Analyst,SQL;Recruitment;Accounting;Figma,Social Work,Lucknow,20,4 months,Supply Chain Management,Wipro
1084,HR Intern,Illustrator;NLP;Google Analytics;Matlab,IT,Ahmedabad,15,4 months,Supply Chain Management,Capgemini
1923,Cybersecurity Intern,UI/UX;AutoCAD,Mechanical,Indore,14,6 months,Networking Basics,Flipkart
100,AI Research,Surveying;React;Social Media;Solidity,Civil,Hyderabad,3,4 months,Supply Chain Management,Google
1180,Journalism Intern,Sales;SolidWorks,Management,Kolkata,8,4 months,Analytics Bootcamp,LinkedIn
965,Journalism Intern,Reporting;Research,Business,Lucknow,15,6 months,Blockchain Development,Wipro
793,Digital Marketing Intern,Blockchain;R;Python,Logistics,Hyderabad,20,4 months,Machine Learning,L&T
30,Mobile App Developer,Blockchain;Python;MS Office,Blockchain,Delhi,18,4 months,Digital Marketing Hub,Accenture
629,Data Engineer Trainee,Tally;Power Systems,Logistics,Hyderabad,11,4 months,Machine Learning,Dell
945,Network Engineer Intern,Planning;SolidWorks;Excel;CCNA;ML,Electrical,Hyderabad,12,5 months,Analytics Bootcamp,Flipkart
573,Supply Chain Intern,TensorFlow;Excel;Accounting,Research,Mumbai,11,3 months,Networking Basics,Google
908,Marketing Intern,Python;Data Analysis;Figma;Photoshop;Tally,Mechanical,Indore,13,6 months,Mechanical Internship,LinkedIn
1081,Research Intern,Keras;Troubleshooting;Illustrator,Civil,Gurgaon,12,6 months,Journalism Basics,LinkedIn
451,Machine Learning Intern,R;Power Systems;Java;Solidity,Operations,Lucknow,12,6 months,UI/UX Design,Flipkart
1610,Business Analyst Junior,Swift;Ethereum;Inventory,Electrical,Ahmedabad,9,6 months,Full Stack Web,Infosys
1291,HR Intern,Surveying;Solidity;CSS,Business,Hyderabad,7,2 months,Mobile Development,Paytm
1079,Machine Learning Intern,Writing;Blogging;SEM;SQL;R,Design,Pune,20,6 months,AI & ML Internship,Times of India
255,Web Developer Intern,Editing;CCNA,Finance,Hyderabad,5,2 months,Finance & Accounting,Adobe
125,Financial Analyst,Solidity;TensorFlow;Google Analytics,Civil,Chennai,14,6 months,Digital Marketing Hub,HCL
1928,Operations Intern,Finance;Community Outreach;Tally,Blockchain,Chennai,3,3 months,Mechanical Internship,HCL
252,Operations Intern,Accounting;Recruitment;Solidity;Community Outreach;Ethereum,Civil,Bangalore,4,6 months,Mechanical Internship,Facebook
586,AI Research,Python;Solidity;CSS;SEO;Networking,AI,Gurgaon,16,6 months,Cybersecurity Fundamentals,Adobe
1569,Operations Intern,Android;Blogging;TensorFlow,IT,Lucknow,16,4 months,Research Methodologies,KPMG
825,Marketing Intern,Communication;Finance;Writing;SEO;ML,Operations,Delhi,10,2 months,Machine Learning,Facebook
508,Civil Engineer Intern,MS Office;Finance;Matlab,Finance,Hyderabad,13,2 months,Machine Learning,Oracle
890,Network Engineer Junior,Troubleshooting;Illustrator,Data,Ahmedabad,13,2 months,UI/UX Design,Paytm
71,Blockchain Developer,Java;Editing,Operations,Delhi,5,6 months,Networking Basics,Microsoft
1609,Electrical Engineering Intern,Linux;Matlab;Excel,Finance,Indore,4,5 months,Digital Marketing Hub,Microsoft
1533,Graphic Designer Junior,Matlab;Reporting;Keras,Management,Bangalore,17,3 months,Digital Marketing,Accenture
248,Digital Marketing Intern,Photoshop;Content;SQL;Recruitment;Communication,Blockchain,Mumbai,20,6 months,Supply Chain Management,TCS
1451,Cybersecurity Intern,R;JavaScript,Research,Delhi,10,3 months,Mechanical Internship,HCL
213,Journalism Intern,Blockchain;Firebase;ETL;Planning,Data,Hyderabad,9,2 months,UI/UX Design,Facebook
910,Civil Engineer Intern,Research;SQL;Python;CCNA;CSS,Finance,Chennai,3,2 months,Human Resources,Tata Motors
1742,Network Engineer Intern,Java;Editing,Business,Bangalore,12,3 months,Journalism Basics,KPMG
1245,AI Research,CSS;Research;SQL;Adobe XD;Solidity,Research,Indore,19,5 months,Full Stack Web,Oracle
1697,Civil Engineer Intern,Community Outreach;Editing;Sales;Google Analytics,AI,Chennai,15,5 months,Digital Marketing Hub,Amazon
1183,Blockchain Developer,Kotlin;React;Tally,Data,Indore,12,4 months,Research Methodologies,Infosys
362,Civil Engineer Intern,Android;Accounting,Mechanical,Lucknow,12,5 months,Data Engineering,Accenture
1474,Electrical Engineering Intern,Reporting;AutoCAD;Community Outreach;SQL,Civil,Ahmedabad,18,3 months,Analytics Bootcamp,Wipro
679,Data Analyst,React;Circuit Design;SQL,Marketing,Chennai,5,4 months,UI/UX Design,LinkedIn
1622,Journalism Intern,Security;Content;AutoCAD,Data,Chennai,11,5 months,Cybersecurity Fundamentals,UNICEF
1090,Electrical Engineering Intern,Power Systems;Inventory;Editing;Adobe XD;Ethereum,Social Work,Chennai,4,5 months,Mobile Development,IBM
1988,Supply Chain Intern,Recruitment;Photoshop;Circuit Design;Operations,Marketing,Ahmedabad,6,4 months,Content Writing,Facebook
1848,Digital Marketing Intern,Matlab;Logistics;Java;Security;TensorFlow,AI,Bangalore,13,4 months,Content Writing,L&T
988,Cybersecurity Intern,Planning;NLP;Figma;Networking;Google Analytics,Media,Pune,9,3 months,Analytics Bootcamp,Accenture
1513,Mobile App Developer,CCNA;Social Media;Blockchain;Linux,Marketing,Bangalore,19,2 months,Networking Basics,Facebook
112,Financial Analyst,Excel;Circuit Design;SQL;Operations,Data,Mumbai,20,4 months,Data Science Bootcamp,Microsoft
1488,Web Developer Junior,Photoshop;Security;AutoCAD;CCNA;JavaScript,Mechanical,Chennai,8,5 months,Finance & Accounting,Accenture
1454,Journalism Intern,Linux;Communication;SEM;Content;Power Systems,Operations,Pune,19,3 months,Mechanical Internship,Reliance
384,Mobile App Developer,SEM;Swift;Communication;Kotlin;SEO,Civil,Mumbai,16,3 months,Social Work Program,UNICEF
1396,Journalism Intern,Excel;Accounting;Power Systems,Electrical,Indore,13,3 months,Digital Marketing,KPMG
1055,Digital Marketing Intern,SolidWorks;SQL;UI/UX;Reporting;Solidity,Civil,Delhi,11,6 months,Content Writing,UNICEF
756,Web Developer Associate,Excel;Keras,Media,Kolkata,9,3 months,AI & ML Internship,Infosys
325,Graphic Designer,Java;NLP;UI/UX,Operations,Delhi,18,2 months,Analytics Bootcamp,Flipkart
1624,Cybersecurity Intern,ETL;CAD;Finance,Marketing,Bangalore,16,2 months,Digital Marketing,Amazon
788,AI Research,Ethereum;SEO,Data,Hyderabad,10,4 months,Analytics Bootcamp,Accenture
369,Civil Engineer Intern,Grammar;Data Analysis;JavaScript,AI,Chennai,7,3 months,Mechanical Internship,Oracle
1820,Research Intern,NLP;Adobe XD,Media,Indore,6,4 months,Blockchain Development,TCS
70,Financial Analyst Intern,Python;Adobe XD;TensorFlow;MS Office,IT,Chennai,13,6 months,Machine Learning,Microsoft
858,Research Intern,Adobe XD;Sales,Research,Kolkata,8,2 months,Operations Management,Dell
1484,Web Developer Intern,Networking;Circuit Design;SQL,Logistics,Indore,9,2 months,Human Resources,Paytm
1556,Data Engineer,Android;Swift;R;Recruitment;UI/UX,Management,Mumbai,14,4 months,Content Writing,Flipkart
1692,Network Engineer Intern,Grammar;R,Finance,Delhi,20,4 months,Machine Learning,Siemens
1475,Electrical Engineering Intern,Accounting;Google Analytics,Management,Mumbai,8,6 months,Digital Marketing,LinkedIn
1799,Business Analyst,Security;Communication;Firebase;NLP,Research,Lucknow,4,4 months,Design Thinking,L&T
479,Operations Intern,Sales;Communication;SEO;Kotlin,Logistics,Lucknow,5,2 months,Human Resources,Capgemini
282,Marketing Intern,CSS;Accounting,Business,Delhi,15,3 months,Social Work Program,Siemens
1648,Journalism Intern,Android;Linux;Content,Marketing,Gurgaon,19,5 months,Content Writing,Wipro
1557,Civil Engineer Intern,Photoshop;Swift;Inventory,Electrical,Delhi,6,6 months,Mechanical Internship,Adobe
1730,Operations Intern,React;Python;Surveying,Mechanical,Delhi,6,5 months,Digital Marketing Hub,UNICEF
211,Financial Analyst,Recruitment;Reporting,Operations,Pune,13,5 months,Data Engineering,IBM
298,Operations Intern,Figma;AutoCAD;Community Outreach,Data,Delhi,8,6 months,Supply Chain Management,Oracle
1885,Blockchain Developer Associate,Reporting;Adobe XD;Surveying,Media,Ahmedabad,17,6 months,Design Thinking,KPMG
1834,Content Writer,Google Analytics;Kotlin,Data,Bangalore,11,5 months,Networking Basics,Flipkart
652,Web Developer,Java;CAD;ML;R,Mechanical,Indore,11,4 months,Operations Management,LinkedIn
1234,Financial Analyst,Sales;Android;Writing;Troubleshooting;React,Logistics,Hyderabad,6,4 months,Social Work Program,Adobe
1503,UI Designer,Research;UI/UX;Adobe XD,Electrical,Kolkata,4,3 months,Networking Basics,KPMG
1932,Cybersecurity Intern,Firebase;Tally,Electrical,Bangalore,9,4 months,Content Writing,IBM
917,Marketing Intern,Ethereum;Sales,Data,Mumbai,19,5 months,Human Resources,UNICEF
994,Digital Marketing Intern,NLP;Editing;Solidity;SEO;Photoshop,Marketing,Gurgaon,13,2 months,Content Writing,Adobe
430,HR Intern,CSS;Sales;Community Outreach,Marketing,Pune,4,5 months,Networking Basics,LinkedIn
1371,Data Analyst,CCNA;Excel,Electrical,Lucknow,15,4 months,Design Thinking,Accenture
240,Graphic Designer,Social Media;Java;Google Analytics;UI/UX;Planning,Business,Lucknow,16,3 months,Design Thinking,Amazon
880,Blockchain Developer Associate,CCNA;Finance;MS Office,Civil,Indore,17,5 months,Content Writing,Google
621,Journalism Intern,SEM;Ethereum;CAD;Community Outreach,Electrical,Lucknow,9,5 months,AI & ML Internship,UNICEF
257,Social Work Intern,Planning;JavaScript;Reporting,AI,Chennai,5,2 months,Mechanical Internship,Tata Motors
612,Mobile App Developer Associate,Recruitment;ETL;Community Outreach,Operations,Gurgaon,16,3 months,Data Science Bootcamp,Siemens
545,Cybersecurity Intern,Kotlin;Solidity;UI/UX;Content,Business,Mumbai,19,2 months,Civil Engineering,Paytm
772,Electrical Engineering Intern,UI/UX;Social Media;SQL;Swift,AI,Hyderabad,6,3 months,Data Engineering,Oracle
1420,AI Research Junior,Reporting;Google Analytics;React,Logistics,Chennai,4,3 months,Mechanical Internship,Adobe
1042,Business Analyst,Operations;MS Office,Business,Kolkata,11,3 months,Research Methodologies,Times of India
1790,Content Writer,Communication;Community Outreach;Google Analytics;Editing;Reporting,Blockchain,Indore,5,3 months,Data Science Bootcamp,HCL
760,Web Developer,Writing;UI/UX;CAD;Social Media;SEM,IT,Kolkata,20,6 months,Data Science Bootcamp,Microsoft
383,UI Designer Associate,Java;Recruitment;CCNA;Linux,Blockchain,Hyderabad,8,4 months,Supply Chain Management,Microsoft
1104,Mechanical Engineering Trainee,Figma;Google Analytics;Power Systems;Java;Research,Business,Ahmedabad,9,2 months,Digital Marketing Hub,TCS
974,AI Research,Ethereum;Troubleshooting;Finance;Blockchain,Marketing,Delhi,20,3 months,UI/UX Design,Google
353,AI Research,ETL;CSS,IT,Hyderabad,17,6 months,Human Resources,Microsoft
1606,UI Designer,Illustrator;Finance;Social Media,Mechanical,Kolkata,15,5 months,Full Stack Web,Microsoft
1826,Content Writer,Google Analytics;Writing;Python,AI,Hyderabad,3,2 months,Cybersecurity Fundamentals,TCS
1037,Supply Chain Intern,R;Surveying,Mechanical,Lucknow,8,3 months,Journalism Basics,Amazon
1108,Blockchain Developer,Photoshop;UI/UX,Logistics,Ahmedabad,18,2 months,UI/UX Design,Paytm
495,Marketing Intern,Operations;Google Analytics;Figma;Grammar,Finance,Bangalore,7,5 months,Machine Learning,Amazon
394,Journalism Intern,SEM;Research,Blockchain,Lucknow,8,3 months,Mechanical Internship,Capgemini
1547,Journalism Intern,Inventory;CSS,Electrical,Pune,9,5 months,Design Thinking,Goldman Sachs
465,Electrical Engineering Intern,Kotlin;Firebase;Grammar;Security;R,Electrical,Bangalore,19,5 months,Finance & Accounting,L&T
887,Data Engineer,MS Office;NLP;Excel;Ethereum;Google Analytics,Blockchain,Lucknow,12,4 months,Operations Management,Reliance
1194,Digital Marketing Intern,Java;Finance,Finance,Delhi,3,3 months,Machine Learning,Accenture
367,Civil Engineer Intern,Research;Troubleshooting;Editing;Planning;Circuit Design,IT,Indore,3,3 months,Civil Engineering,Tata Motors
1894,Civil Engineer Intern,R;Research;Power Systems,Media,Delhi,18,5 months,Blockchain Development,Dell
1874,Social Work Intern,SEM;Android;HTML;Firebase;Editing,Design,Bangalore,13,4 months,Mobile Development,Oracle
745,Social Work Intern,Finance;Blockchain;Social Media;Adobe XD;Community Outreach,Electrical,Lucknow,8,5 months,Blockchain Development,Accenture
530,Operations Intern,ETL;CCNA,Data,Hyderabad,10,5 months,Blockchain Development,Microsoft
803,Machine Learning Intern,Android;ML;Power Systems;Matlab,Electrical,Gurgaon,17,6 months,Research Methodologies,Oracle
1224,Graphic Designer,Adobe XD;TensorFlow;R;Logistics,Blockchain,Gurgaon,7,2 months,Digital Marketing Hub,Google
1979,Marketing Intern,Circuit Design;Power Systems,Logistics,Ahmedabad,8,5 months,Electrical Systems,Paytm
1906,Operations Intern,Community Outreach;CSS,Research,Ahmedabad,15,4 months,Cybersecurity Fundamentals,Times of India
1700,AI Research Junior,Inventory;Community Outreach;JavaScript,Mechanical,Hyderabad,14,6 months,Research Methodologies,Paytm
1545,Social Work Intern,Networking;Android;Illustrator;Python,AI,Kolkata,6,6 months,Machine Learning,Microsoft
1314,Data Analyst,Networking;Grammar;Editing;Python;Finance,Data,Mumbai,7,3 months,Civil Engineering,Google
307,Network Engineer,Reporting;Inventory,Operations,Ahmedabad,15,6 months,Networking Basics,Capgemini
1667,Journalism Intern,Keras;AutoCAD;Troubleshooting;Tally;Sales,Finance,Delhi,13,5 months,Digital Marketing Hub,Reliance
863,Operations Intern,Recruitment;Solidity,IT,Mumbai,17,6 months,Digital Marketing,Wipro
1567,Marketing Intern,CCNA;Data Analysis;UI/UX;Networking;Finance,Blockchain,Mumbai,11,2 months,Mechanical Internship,L&T
531,Research Intern,Logistics;SolidWorks;Inventory;CSS,Electrical,Bangalore,12,5 months,Social Work Program,Oracle
655,Marketing Intern,R;Social Media;Research;ETL,Marketing,Indore,3,4 months,Supply Chain Management,LinkedIn
1260,Financial Analyst Intern,SEO;CSS;Inventory,AI,Gurgaon,3,2 months,Cybersecurity Fundamentals,Flipkart
234,Mobile App Developer Associate,Solidity;Adobe XD;CSS,Media,Kolkata,5,2 months,Electrical Systems,Dell
121,Business Analyst,Matlab;CCNA,Marketing,Lucknow,9,6 months,Cybersecurity Fundamentals,Tata Motors
1698,Business Analyst,NLP;Networking;Content,Mechanical,Bangalore,19,6 months,Journalism Basics,Adobe
950,Machine Learning Intern,Troubleshooting;ML;Circuit Design,Media,Indore,11,3 months,Supply Chain Management,Microsoft
618,Data Analyst Associate,Kotlin;Communication,AI,Indore,14,2 months,Mechanical Internship,UNICEF
1179,Supply Chain Intern,JavaScript;Logistics;Firebase;Keras;Troubleshooting,Social Work,Gurgaon,8,2 months,AI & ML Internship,Goldman Sachs
308,Web Developer,Troubleshooting;Community Outreach,Business,Chennai,19,5 months,Data Engineering,Wipro
136,Research Intern,Logistics;Communication;Power Systems,Media,Gurgaon,8,3 months,Machine Learning,TCS
555,Machine Learning Intern,React;Java,AI,Bangalore,7,6 months,Operations Management,Dell
1674,Operations Intern,Sales;Grammar;Power Systems,Blockchain,Kolkata,4,4 months,Networking Basics,Amazon
584,Network Engineer,Keras;Community Outreach,Electrical,Chennai,4,4 months,Research Methodologies,Capgemini
1641,Research Intern,Communication;ETL;SEM;CAD;Blogging,Social Work,Ahmedabad,9,6 months,AI & ML Internship,Flipkart
671,Data Engineer,Ethereum;Android;JavaScript;Photoshop;ML,Data,Pune,17,2 months,Human Resources,Wipro
835,HR Intern,Data Analysis;ETL,IT,Lucknow,6,3 months,Digital Marketing,Dell
110,Mechanical Engineering Trainee,Excel;Social Media;Blogging,Media,Lucknow,20,3 months,Digital Marketing,Flipkart
1165,Data Analyst,Reporting;NLP;Sales;Security,Social Work,Kolkata,6,5 months,Cybersecurity Fundamentals,TCS
1960,Mechanical Engineering Trainee,AutoCAD;Planning;Communication,IT,Mumbai,19,5 months,Operations Management,Capgemini
1465,Research Intern,Writing;Android;Accounting;Logistics,Data,Ahmedabad,17,5 months,Cybersecurity Fundamentals,TCS
1729,Social Work Intern,Social Media;CCNA;SEO;Swift,IT,Chennai,8,5 months,Mechanical Internship,Flipkart
1243,Digital Marketing Intern,Recruitment;SolidWorks;JavaScript;React;ML,AI,Indore,12,4 months,Digital Marketing Hub,Siemens
212,UI Designer Junior,Photoshop;Ethereum;Surveying,Blockchain,Lucknow,16,4 months,Data Science Bootcamp,UNICEF
1768,Civil Engineer Intern,Swift;Writing;Power Systems;Content,Operations,Indore,11,2 months,AI & ML Internship,Amazon
1121,Operations Intern,Social Media;Google Analytics,Civil,Chennai,8,6 months,Networking Basics,Facebook
680,Web Developer,Python;Communication,Electrical,Kolkata,4,3 months,Full Stack Web,Accenture
1951,Graphic Designer,HTML;Blogging,Marketing,Chennai,10,4 months,Data Engineering,Reliance
1839,Operations Intern,Writing;Social Media;Logistics,Research,Gurgaon,16,6 months,UI/UX Design,Siemens
412,Social Work Intern,Kotlin;Illustrator;Networking;Solidity,Finance,Bangalore,19,6 months,Civil Engineering,Goldman Sachs
1325,Network Engineer,Blockchain;Python;SQL,Civil,Kolkata,13,6 months,UI/UX Design,Accenture
783,Digital Marketing Intern,Java;Grammar,Logistics,Gurgaon,19,2 months,Design Thinking,Times of India
1346,Data Analyst,Inventory;Troubleshooting,Social Work,Indore,3,6 months,Mechanical Internship,TCS
875,Data Engineer,Solidity;SolidWorks,Logistics,Hyderabad,7,6 months,Blockchain Development,Reliance
1653,Digital Marketing Intern,Writing;Grammar,Business,Chennai,3,3 months,Machine Learning,Flipkart
1279,Electrical Engineering Intern,Python;Blockchain;Keras,Research,Gurgaon,7,4 months,Research Methodologies,HCL
786,Operations Intern,Illustrator;Accounting;Excel;NLP,Mechanical,Chennai,14,3 months,Blockchain Development,Infosys
1819,Electrical Engineering Intern,R;HTML;Logistics,Logistics,Gurgaon,20,5 months,Data Science Bootcamp,Paytm
1199,Research Intern,Solidity;Excel;Content;Communication,Logistics,Mumbai,16,3 months,Networking Basics,Dell
808,Data Analyst,Firebase;Python;CAD;TensorFlow;Circuit Design,AI,Hyderabad,11,2 months,Mobile Development,Capgemini
713,Electrical Engineering Intern,CAD;UI/UX,Design,Kolkata,18,5 months,Design Thinking,Times of India
1991,Data Engineer Intern,MS Office;Adobe XD;SQL;SEO,Mechanical,Mumbai,9,5 months,Digital Marketing,Capgemini
1660,Financial Analyst,Sales;Figma;MS Office,Data,Delhi,6,3 months,Content Writing,LinkedIn
1191,Web Developer,Research;SEM;Troubleshooting;UI/UX,Data,Delhi,6,3 months,Supply Chain Management,Infosys
1226,Supply Chain Intern,Circuit Design;ML;ETL;React,Blockchain,Kolkata,3,3 months,Data Engineering,Siemens
603,Mechanical Engineering Trainee,SEO;NLP,Civil,Lucknow,3,4 months,Social Work Program,Tata Motors
271,UI Designer,Figma;CSS,Social Work,Bangalore,8,2 months,Social Work Program,Microsoft
1385,Data Engineer,SEO;Google Analytics;Figma;Recruitment,Research,Kolkata,17,3 months,Journalism Basics,Accenture
232,Blockchain Developer,Research;Firebase;Security;Matlab;Blockchain,Management,Bangalore,14,5 months,Digital Marketing,Capgemini
50,Social Work Intern,Excel;Photoshop;Solidity;Troubleshooting,Media,Lucknow,16,4 months,Research Methodologies,Wipro
463,AI Research Intern,Communication;UI/UX;Accounting;Sales;ML,AI,Mumbai,12,6 months,Electrical Systems,Amazon
1106,Social Work Intern,Figma;Keras;UI/UX;Communication,Research,Kolkata,18,5 months,Cybersecurity Fundamentals,Amazon
856,Graphic Designer,Finance;Recruitment;Solidity,Operations,Hyderabad,10,3 months,Design Thinking,Dell
694,Data Engineer,Operations;Content;Networking;NLP,AI,Hyderabad,15,2 months,Supply Chain Management,Amazon
1552,Blockchain Developer,MS Office;Java;Linux,Business,Bangalore,15,6 months,Design Thinking,Reliance
1873,Social Work Intern,Security;Circuit Design;R;Excel;Solidity,Business,Mumbai,13,2 months,Electrical Systems,LinkedIn
527,Data Engineer,Ethereum;Communication;Troubleshooting,Research,Lucknow,19,4 months,Digital Marketing,Oracle
174,Business Analyst Intern,SQL;Excel;CCNA;Operations,Social Work,Pune,9,3 months,Digital Marketing,UNICEF
721,Cybersecurity Intern,Blogging;Research;Planning;TensorFlow;Power Systems,Finance,Kolkata,10,3 months,Analytics Bootcamp,Dell
415,Electrical Engineering Intern,Swift;Reporting,Management,Mumbai,18,6 months,Content Writing,TCS
238,Social Work Intern,Photoshop;SQL,AI,Indore,20,6 months,Journalism Basics,Facebook
1473,Mechanical Engineering Trainee,Java;Grammar;Accounting,Media,Indore,9,6 months,Blockchain Development,Infosys
1336,Electrical Engineering Intern,CCNA;Reporting;CAD,Operations,Ahmedabad,5,4 months,Content Writing,Dell
1064,Network Engineer,CSS;Keras;Planning;Python,IT,Gurgaon,3,3 months,Mechanical Internship,Paytm
24,Marketing Intern,MS Office;Firebase;Python;Excel;AutoCAD,Social Work,Delhi,15,3 months,Content Writing,Facebook
1767,Content Writer Junior,Planning;Matlab;Recruitment;Finance;NLP,Civil,Kolkata,13,4 months,Machine Learning,UNICEF
64,Data Engineer,NLP;Editing;Content;TensorFlow,Marketing,Mumbai,8,5 months,Journalism Basics,L&T
290,Business Analyst Intern,Troubleshooting;Community Outreach;Swift;ML,Business,Delhi,19,4 months,Research Methodologies,Oracle
189,Mobile App Developer Trainee,NLP;Surveying;Figma;Inventory;Operations,Civil,Indore,10,5 months,Data Engineering,KPMG
702,Machine Learning Intern,NLP;Blogging;Writing;Community Outreach,Mechanical,Hyderabad,12,4 months,Design Thinking,Oracle
1815,Web Developer Intern,Finance;Excel;ML;Security,Business,Bangalore,19,3 months,Journalism Basics,Facebook
1138,Marketing Intern,Google Analytics;HTML;Data Analysis;Matlab;Illustrator,AI,Gurgaon,12,3 months,Digital Marketing,Flipkart
355,Network Engineer Junior,Illustrator;AutoCAD,AI,Delhi,6,6 months,Digital Marketing Hub,Facebook
417,Supply Chain Intern,Firebase;Inventory,Blockchain,Bangalore,19,2 months,Human Resources,IBM
1246,Digital Marketing Intern,Operations;Writing;Accounting;Reporting,Civil,Lucknow,18,4 months,Design Thinking,Google
931,Content Writer,SolidWorks;Adobe XD;Data Analysis;HTML,Design,Bangalore,5,2 months,Content Writing,KPMG
197,Data Analyst,Linux;Keras;SEM;Communication,Finance,Bangalore,15,3 months,Networking Basics,Wipro
580,UI Designer,Inventory;MS Office,Finance,Lucknow,11,6 months,Cybersecurity Fundamentals,L&T
1135,Research Intern,Social Media;Community Outreach;MS Office,IT,Lucknow,4,6 months,Content Writing,Paytm
1814,Operations Intern,R;Java,Management,Delhi,7,2 months,Full Stack Web,Wipro
1935,Content Writer,Security;Reporting;NLP,Finance,Kolkata,8,6 months,Cybersecurity Fundamentals,Dell
434,Mechanical Engineering Trainee,Planning;Operations;Editing;Android,Design,Hyderabad,6,3 months,Networking Basics,Siemens
101,Supply Chain Intern,Firebase;TensorFlow;Photoshop,Research,Hyderabad,17,3 months,Digital Marketing,Tata Motors
1655,Machine Learning Intern,Content;Tally,Civil,Hyderabad,8,3 months,UI/UX Design,Oracle
395,Supply Chain Intern,Java;Solidity;Writing;Firebase,Social Work,Delhi,16,5 months,Mobile Development,Dell
1939,Mobile App Developer,Grammar;R;Kotlin,Management,Delhi,8,4 months,Journalism Basics,UNICEF
221,Web Developer Trainee,Figma;Blogging,Mechanical,Kolkata,5,6 months,Digital Marketing Hub,Amazon
1676,Journalism Intern,Excel;Figma;Planning,Marketing,Bangalore,7,2 months,Digital Marketing Hub,Accenture
1498,Social Work Intern,Illustrator;Security;Power Systems;SEO,Marketing,Pune,10,2 months,UI/UX Design,Amazon
1785,Mechanical Engineering Trainee,Networking;Data Analysis;Java;Ethereum;Research,Civil,Pune,12,4 months,Design Thinking,Accenture
345,Financial Analyst,Keras;UI/UX;R;Photoshop;Blogging,Logistics,Pune,13,6 months,Mobile Development,Tata Motors
1028,Mobile App Developer Intern,TensorFlow;Blockchain;CAD,Social Work,Delhi,15,4 months,Social Work Program,Wipro
889,Content Writer,Circuit Design;Tally;Finance;React;SEO,AI,Mumbai,6,2 months,Machine Learning,Times of India
1351,AI Research,Solidity;Troubleshooting;Python;UI/UX;Social Media,IT,Gurgaon,11,4 months,Design Thinking,LinkedIn
553,Content Writer,CSS;CCNA,Research,Indore,17,3 months,Journalism Basics,Oracle
744,Research Intern,Illustrator;Troubleshooting;NLP;CAD;Surveying,Finance,Indore,18,5 months,AI & ML Internship,Siemens
1542,Journalism Intern,Troubleshooting;Blockchain;Writing;Recruitment;Data Analysis,Management,Ahmedabad,4,3 months,Finance & Accounting,Oracle
539,Social Work Intern,Reporting;Ethereum;Illustrator;SEM;Communication,AI,Hyderabad,7,4 months,Journalism Basics,Oracle
907,Digital Marketing Intern,Reporting;CAD;AutoCAD,Media,Bangalore,13,6 months,Data Science Bootcamp,Paytm
1395,Civil Engineer Intern,CSS;SEM;Troubleshooting;Circuit Design,Marketing,Bangalore,18,6 months,Journalism Basics,Amazon
